"CASRN","Chemical","LLNAthreshold","logLLNAthreshold","logMinhCLAT","logDPRA","logImax","logMAC","EC3","LLNA_Threshold","GHS_Category","hCLAT_Call","DPRA_Call","ARE_Call","SH_Call","Pred_LLNAthreshold","Pred_PotencyCategory","LLNA_Category"
"923-26-2","2-Hydroxypropyl methacrylate",">50",1.699,3,1.6493,0.5795,1.3553,"-",">50","1B","N","P","P","P",8.4,"Weak or Moderate","Non-sensitizer"
"3055-86-5","3-Phenoxypropiononitrile",">49",1.6902,2.655,1.1717,0.1367,1.3802,"-",">49","1B","P","P","N","P",13.1,"Weak or Moderate","Non-sensitizer"
"99-96-7","4-Hydroxybenzoic acid",">25",1.3979,2.7782,-0.0706,0.4116,0.4914,"-",">25","1B","N","N","N","N",29.5,"N","Non-sensitizer"
"100-06-1","Acetanisole",">50",1.699,2.6294,0.0212,NA,NA,"-",">50","1B","N","N","no data","no data",26.6,"N","Non-sensitizer"
"92-48-8","6-Methyl coumarin",">25",1.3979,2.4423,0.0607,0.3474,1.736,"-",">25","1B","N","N","P","P",23.9,"N","Non-sensitizer"
"8001-54-5","Benzalchonium chloride","0.068(@)",-1.1667,0.4771,0.1461,0.2304,1.2368,"-","0.068(@)","1B","N","N","P","P",0.1,"N","Non-sensitizer"
"100-52-7","Benzaldehyde",">25",1.3979,2.4148,0.5563,NA,NA,"-",">25","1B","P","N","no data","no data",18.3,"Weak or Moderate","Non-sensitizer"
"119-10-8","Benzen, 1-methoxy-4-methyl-2-nitro",">50",1.699,1.938,-0.8239,NA,NA,"-",">50","1B","P","N","no data","no data",18,"Weak or Moderate","Non-sensitizer"
"85-68-7","Butylbenzylphthalate",">50",1.699,3,-2,NA,NA,"-",">50","1B","N","N","no data","no data",41.2,"N","Non-sensitizer"
"108-90-7","Chlorobenzene",">25",1.3979,2.4594,-2,-0.0419,1.204,"-",">25","1B","P","N","N","P",20.3,"Weak or Moderate","Non-sensitizer"
"637-07-0","Clofibrate",">50",1.699,2.7301,-0.8239,NA,NA,"-",">50","1B","P","N","no data","no data",38.6,"Weak or Moderate","Non-sensitizer"
"91-64-5","Coumarin",">25",1.3979,2.7303,-0.301,NA,NA,"-",">25","1B","N","N","no data","no data",30.7,"N","Non-sensitizer"
"84-66-2","Diethylphthalate",">100",2,2.4721,0.1303,0.1745,1.3615,"-",">100","1B","P","N","N","P",22.2,"Weak or Moderate","Non-sensitizer"
"134-62-3","N,N-Diethyl-m-toluamide",">60",1.7782,2.7026,-2,NA,NA,"-",">60","1B","N","N","no data","no data",30.3,"N","Non-sensitizer"
"68-12-2","Dimethyl formamide",">100",2,3.3979,-0.6021,0.0242,0.3251,"-",">100","1B","N","N","N","N",38.3,"N","Non-sensitizer"
"9004-54-0","Dextran",">10",1,3.699,NA,0.085,0.4771,"-",">10","1B","N","no data","N","N",NA,"","Non-sensitizer"
"94-02-0","Ethyl benzoylacetate",">40",1.6021,2.7567,-0.301,NA,NA,"-",">40","1B","N","N","no data","no data",35.1,"N","Non-sensitizer"
"121-32-4","Ethyl vanillin",">50",1.699,2.7756,1.3636,NA,NA,"-",">50","1B","N","P","no data","no data",10.6,"Weak or Moderate","Non-sensitizer"
"56-81-5","Glycerol",">100",2,3.699,-2,0.1388,0.9542,"-",">100","1B","N","N","N","N",52.3,"N","Non-sensitizer"
"67-63-0","Isopropanol",">50",1.699,3.699,0.1461,0.0415,0.6335,"-",">50","1B","N","N","N","N",26.5,"N","Non-sensitizer"
"50-21-5","Lactic acid",">25",1.3979,3.4472,-0.0223,0.1629,0.648,"-",">25","1B","N","N","N","N",32.1,"N","Non-sensitizer"
"119-36-8","Methyl salicylate",">20",1.301,2.7343,-0.0458,0.0083,1.1761,"-",">20","1B","N","N","N","N",31,"N","Non-sensitizer"
"124-07-2","Octanoic acid",">50",1.699,2.2006,0.2672,0.1201,1.6682,"-",">50","1B","P","N","N","P",20.5,"Weak or Moderate","Non-sensitizer"
"3395-91-3","Propanoic acid, 3-bromo-, methyl ester",">50",1.699,1.8921,1.9643,NA,NA,"-",">50","1B","N","P","no data","no data",5.1,"Weak or Moderate","Non-sensitizer"
"94-13-3","Propyl paraben",">25",1.3979,1.7882,-0.772,0.3802,1.3291,"-",">25","1B","P","N","P","P",12.3,"Weak or Moderate","Non-sensitizer"
"57-55-6","Propylene glycol",">100",2,3.699,-2,0.0369,0.6857,"-",">100","1B","N","N","N","N",52.7,"N","Non-sensitizer"
"81-07-2","Saccharin",">75",1.8751,3,1.3865,-0.0759,0.5051,"-",">75","1B","N","P","N","N",8.8,"Weak or Moderate","Non-sensitizer"
"3810-74-0","Steptomycine sulfate",">50",1.699,3,-2,NA,NA,"-",">50","1B","N","N","no data","no data",36.8,"N","Non-sensitizer"
"63-74-1","Sulfanilamide",">50",1.699,3,-0.1549,NA,NA,"-",">50","1B","N","N","no data","no data",29.9,"N","Non-sensitizer"
"121-57-3","Sulfanic acid",">25",1.3979,3.699,0.4624,NA,NA,"-",">25","1B","N","N","no data","no data",25.4,"N","Non-sensitizer"
"121-33-5","Vanillin",">50",1.699,2.8129,1.5099,0.1149,1.4342,"-",">50","1B","N","P","N","P",9.6,"Weak or Moderate","Non-sensitizer"
"151-21-3","Sodium lauryl sulfate","14",1.1461,1.7782,1.8319,-0.0588,0.8195,"14","14","1B","N","P","N","N",5,"Weak or Moderate","Non-sensitizer"
