Num,Chemical,CASRN,Arith.Mean.EC3,Geo.Mean.EC3,Median.EC3,Median_NC.EC3,Min.EC3,LLNA.potency.MNC,LLNA.potency.3class.MNC,LLNA.Call.MNC,Basketter.human.potency,human.Call,human.potency.3class,human.potency.5class
37,2-aminophenol,95-55-6,0.45,0.45,0.45,0.45,0.4,Strong,Strong,1,2,1,Strong,Strong
39,"2-Nitro-1,4-phenylenediamine",5307-14-2,3.95,1.73,3.95,3.95,0.4,Moderate,Weak,1,2,1,Strong,Strong
40,Formaldehyde (act. 37%),50-00-0,2.75,1.17,0.85,0.85,0.11,Strong,Strong,1,2,1,Strong,Strong
41,Iodopropynyl butylcarbamate,55406-53-6,0.9,0.9,0.9,0.9,0.9,Strong,Strong,1,4,1,Weak,Weak
43,Methyl heptine carbonate,111-12-6,0.5,0.5,0.5,0.5,0.5,Strong,Strong,1,2,1,Strong,Strong
48,Thioglycerol,96-27-5,3.6,3.6,3.6,3.6,3.6,Moderate,Weak,1,2,1,Strong,Strong
49,Toluene diamine sulphate,615-50-9,0.4,0.4,0.4,0.4,0.4,Strong,Strong,1,2,1,Strong,Strong
50,Isoeugenol,97-54-1,1.57,1.36,1.35,1.35,0.5,Moderate,Weak,1,2,1,Strong,Strong
52,Glyoxal (act. 40%),107-22-2,0.83,0.75,0.6,0.6,0.5,Strong,Strong,1,2,1,Strong,Strong
53,2-Hydroxyethyl acrylate,818-61-1,3.07,2.39,1.56,1.56,1.4,Moderate,Weak,1,3,1,Weak,Moderate
54,Methylisothiazolinone (act.9.7%),2682-20-4,1.6,1.34,1.9,1.9,0.4,Moderate,Weak,1,1,1,Strong,Extreme
56,3-Dimethylaminopropylamine,109-55-7,2.2,2.2,2.2,2.2,2.2,Moderate,Weak,1,2,1,Strong,Strong
57,Ethylene diamine,107-15-3,2.6,2.54,2.2,3.4,2.2,Moderate,Weak,1,3,1,Weak,Moderate
58,"1,2-Benzisothiazolin-3-one",2634-33-5,13.17,7.1,4.8,4.8,2.3,Moderate,Weak,1,2,1,Strong,Strong
67,Resorcinol,108-46-3,5.9,5.89,5.9,6.3,5.5,Moderate,Weak,1,4,1,Weak,Weak
69,Diethyl maleate,141-05-9,3.86,3.52,4.7,4.7,2,Moderate,Weak,1,2,1,Strong,Strong
74,Chlorpromazine,50-53-3,1,0.51,1,1,0.14,Moderate,Weak,1,3,1,Weak,Moderate
75,Coumarin,91-64-5,NA,NA,NA,NA,NA,Non,Non,0,3,1,Weak,Moderate
76,Farnesol,4602-84-0,4.8,4.8,4.8,4.8,4.8,Moderate,Weak,1,3,1,Weak,Moderate
78,Metol,55-55-0,0.8,0.8,0.8,0.8,0.8,Strong,Strong,1,3,1,Weak,Moderate
80,Amyl cinnamic aldehyde,122-40-7,10.93,10.75,11.2,11.2,7.6,Weak,Weak,1,4,1,Weak,Weak
81,Hexyl cinnamic aldehyde,101-86-0,10.53,8.72,10.6,10.6,1.2,Weak,Weak,1,5,0,Non,Non
83,Citral,5392-40-5,6.11,5.09,5.7,5.7,1.2,Moderate,Weak,1,3,1,Weak,Moderate
84,Eugenol,97-53-0,12.74,11.41,12.4,12.9,4.9,Weak,Weak,1,3,1,Weak,Moderate
85,Abietic acid,514-10-3,11.92,11.64,11,11,8.3,Weak,Weak,1,3,1,Weak,Moderate
88,Lillial,80-54-6,10.92,8.8,11.35,11.35,2.9,Weak,Weak,1,4,1,Weak,Weak
89,Cinnamic alcohol,104-54-1,20.23,20.22,20.6,20.6,19.1,Weak,Weak,1,3,1,Weak,Moderate
91,Benzocaine,94-09-7,13.07,8.34,9.05,NA,1.8,Non,Non,0,4,1,Weak,Weak
92,Imidazolidinyl urea,39236-46-9,25.24,25.17,24,24,23.9,Weak,Weak,1,3,1,Weak,Moderate
93,Geraniol,106-24-1,22.6,17.91,20.4,23.2,5.6,Weak,Weak,1,4,1,Weak,Weak
94,Ethyleneglycol dimethacrylate,97-90-5,33.17,32.95,35,35,28,Weak,Weak,1,4,1,Weak,Weak
95,Linalool,78-70-6,38.47,36.88,30.4,30.4,30,Weak,Weak,1,4,1,Weak,Weak
96,Penicillin G,61-33-6,31.14,28.5,30,30,16.7,Weak,Weak,1,3,1,Weak,Moderate
97,Butyl glycidyl ether,2426-08-6,30.9,30.9,30.9,30.9,30.9,Weak,Weak,1,3,1,Weak,Moderate
98,Hydroxycitronellal,107-75-5,23.42,23,22.2,22.2,18,Weak,Weak,1,4,1,Weak,Weak
99,Pyridine,110-86-1,72,72,72,72,72,Weak,Weak,1,5,0,Non,Non
100,Amylcinnamyl alcohol,101-85-9,NA,NA,NA,NA,NA,Non,Non,0,4,1,Weak,Weak
101,Aniline,62-53-3,41.17,32.49,37,89,13.25,Weak,Weak,1,4,1,Weak,Weak
103,Carvone,6485-40-1,12.9,12.9,12.9,12.9,12.9,Weak,Weak,1,4,1,Weak,Weak
105,Ethyl Acrylate,140-88-5,32.75,52.2,36.8,32.75,28.7,Weak,Weak,1,4,1,Weak,Weak
106,Hexyl salicylate,6259-76-3,0.18,0.18,0.18,0.18,0.18,Strong,Strong,1,4,1,Weak,Weak
107,Kanamycin sulfate,70560-51-9,NA,NA,NA,NA,NA,Non,Non,0,4,1,Weak,Weak
108,Methylmethacrylate,80-62-6,75,73.48,75,75,60,Weak,Weak,1,4,1,Weak,Weak
109,Neomycin sulphate,1405-10-3,NA,NA,NA,NA,NA,Non,Non,0,4,1,Weak,Weak
111,Benzalkonium chloride,8001-54-5,0.1,0.1,0.1,0.1,0.1,Strong,Strong,1,5,0,Non,Non
114,1-Butanol,71-36-3,NA,NA,NA,NA,NA,Non,Non,0,6,0,Non,Non
116,Dextran,3371-50-4,NA,NA,NA,NA,NA,Non,Non,0,6,0,Non,Non
117,Diethyl phthalate,84-66-2,NA,NA,NA,NA,NA,Non,Non,0,6,0,Non,Non
121,Glycerol/Glycerin,56-81-5,NA,NA,NA,NA,NA,Non,Non,0,6,0,Non,Non
124,Isopropanol,67-63-0,NA,NA,NA,NA,NA,Non,Non,0,5,0,Non,Non
126,Methyl salicylate,119-36-8,18.25,16.96,18.25,NA,11.5,Non,Non,0,5,0,Non,Non
127,Octanoic acid,124-07-2,NA,NA,NA,NA,NA,Non,Non,0,6,0,Non,Non
128,Propylene glycol,57-55-6,NA,NA,NA,NA,NA,Non,Non,0,5,0,Non,Non
129,Propyl paraben,94-13-3,NA,NA,NA,NA,NA,Non,Non,0,5,0,Non,Non
132,Tween 80,9005-65-6,NA,NA,NA,NA,NA,Non,Non,0,6,0,Non,Non
133,Vanillin,121-33-5,NA,NA,NA,NA,NA,Non,Non,0,5,0,Non,Non
135,Anethole,104-46-1,2.3,2.3,2.3,2.3,2.3,Moderate,Weak,1,5,0,Non,Non
136,4-Aminobenzoic acid,150-13-0,NA,NA,NA,NA,NA,Non,Non,0,5,0,Non,Non
137,Anisyl alcohol,105-13-5,5.91,5.91,5.91,5.91,5.91,Moderate,Weak,1,5,0,Non,Non
138,Benzyl benzoate,120-51-4,17,17,17,17,17,Weak,Weak,1,5,0,Non,Non
139,Benzyl salicylate,118-58-1,2.85,50,2.85,2.85,2.8,Moderate,Weak,1,5,0,Non,Non
144,Citronellol,106-22-9,43.5,43.5,43.5,43.5,43.5,Weak,Weak,1,5,0,Non,Non
145,Diethanolamine,111-42-2,40,40,40,40,40,Weak,Weak,1,5,0,Non,Non
146,Hydrocortisone,50-23-7,NA,NA,NA,NA,NA,Non,Non,0,5,0,Non,Non
147,(R)-(+)-Limonene,5989-27-5,52.5,49.84,52.5,52.5,36,Weak,Weak,1,5,0,Non,Non
148,Pentachlorophenol,87-86-5,20,20,20,20,20,Weak,Weak,1,5,0,Non,Non
149,Phenoxyethanol,122-99-6,NA,NA,NA,NA,NA,Non,Non,0,5,0,Non,Non
152,Triethanolamine,102-71-6,NA,NA,NA,NA,NA,Non,Non,0,5,0,Non,Non
156,Diethyl toluamide,134-62-3,NA,NA,NA,NA,NA,Non,Non,0,6,0,Non,Non
160,Phenol,108-95-2,NA,NA,NA,NA,NA,Non,Non,0,6,0,Non,Non
163,Tocopherol,59-02-9,8.1,8.1,8.1,8.1,8.1,Moderate,Weak,1,6,0,Non,Non
164,Xylene,1330-20-7,95.8,95.8,95.8,95.8,95.8,Weak,Weak,1,6,0,Non,Non
166,DMSO,67-68-5,72,72,72,72,72,Weak,Weak,1,6,0,Non,Non
170,Benzaldehyde,100-52-7,NA,NA,NA,NA,NA,Non,Non,0,5,0,Non,Non
173,Isopropyl myristate,110-27-0,44,44,44,44,44,Weak,Weak,1,5,0,Non,Non
185,Tetrachlorosalicylanilide,1154-59-2,0.04,0.03,0.04,0.04,0.03,Extreme,Strong,1,1,1,Strong,Extreme
191,Bisphenol A-diglycidyl ether,1675-54-3,1.5,1.5,1.5,1.5,1.5,Moderate,Weak,1,3,1,Weak,Moderate
193,Glyceryl monothioglycolate,30618-84-9,4.7,4.7,4.7,4.7,4.7,Moderate,Weak,1,3,1,Weak,Moderate
196,"5-Methyl-2,3-hexanedione",13706-86-0,26,26,26,26,26,Weak,Weak,1,3,1,Weak,Moderate
197,Lyral,31906-04-4,17.1,17.1,17.1,17.1,17.1,Weak,Weak,1,2,1,Strong,Strong
202,Hexane,110-54-3,NA,NA,NA,NA,NA,Non,Non,0,6,0,Non,Non
301,Allyl phenoxyacetate,7493-74-5,3.1,3.1,3.1,3.1,3.1,Moderate,Weak,1,3,1,Weak,Moderate
302,p-t-Butyl-dihydrocinnamaldehyde (Bourgenol),18127-01-0,4.3,4.3,4.3,4.3,4.3,Moderate,Weak,1,4,1,Weak,Weak
303,Cinnamyl nitrile,1885-38-7,NA,NA,NA,NA,NA,Non,Non,0,3,1,Weak,Moderate
304,Dibenzyl ether,103-50-4,6.3,6.3,6.3,6.3,6.3,Moderate,Weak,1,4,1,Weak,Weak
305,2-Hexylidene cyclopentanone,17373-89-6,2.4,2.4,2.4,2.4,2.4,Moderate,Weak,1,2,1,Strong,Strong
306,Isocyclocitral,1335-66-6,7.35,7.35,7.35,7.35,7.35,Moderate,Weak,1,4,1,Weak,Weak
307,Isocyclogeraniol,68527-77-5,NA,NA,NA,NA,NA,Non,Non,0,4,1,Weak,Weak
308,Jasmine Absolute (Grandiflorum),8022-96-6; 8024-43-9; 90045-94-6; 84776-64-7,5.9,5.9,5.9,5.9,5.9,Moderate,Weak,1,3,1,Weak,Moderate
309,Jasmine Absolute (Sambac),91770-14-8,36.4,36.4,36.4,36.4,36.4,Weak,Weak,1,4,1,Weak,Weak
310,"?, ? 3-Trimethyl benzenepropanol",103694-68-4,NA,NA,NA,NA,NA,Non,Non,0,4,1,Weak,Weak
311,Menthadiene-7-methyl formate,68683-20-5,NA,NA,NA,NA,NA,Non,Non,0,3,1,Weak,Moderate
312,4-Methoxy-?-methyl benzenpropanal,5462-06-6,23.63,23.63,23.63,23.63,23.63,Weak,Weak,1,4,1,Weak,Weak
313,"?-Methyl-1,3-benzodioxole- 5-propionaldehyde",1205-17-0,16.4,16.4,16.4,16.4,16.4,Weak,Weak,1,5,0,Non,Non
314,"6-Methyl-3,5-heptadien-2-one",1604-28-0,NA,NA,NA,NA,NA,Non,Non,0,2,1,Strong,Strong
315,?-iso-Methylionone,127-51-5,21.8,21.8,21.8,21.8,21.8,Weak,Weak,1,5,0,Non,Non
317,OTNE,54464-57-2,25.14,25.14,25.14,25.14,25.14,Weak,Weak,1,5,0,Non,Non
318,Oakmoss,90028-68-5,3.88,3.88,3.88,3.88,3.88,Moderate,Weak,1,2,1,Strong,Strong
319,Treemoss,90028-67-4,NA,NA,NA,NA,NA,Non,Non,0,3,1,Weak,Moderate
320,Tea Leaf Absolute,84650-60-2,NA,NA,NA,NA,NA,Non,Non,0,2,1,Strong,Strong
321,Ylang Ylang,8006-81-3; 68606-83-7;83863-30-3,6.8,6.8,6.8,6.8,6.8,Moderate,Weak,1,4,1,Weak,Weak
322,Benzyl Alcohol,100-51-6,NA,NA,NA,NA,NA,Non,Non,0,4,1,Weak,Weak
323,Benzyl Cinnamate,103-41-3,18.4,18.4,18.4,18.4,18.4,Weak,Weak,1,4,1,Weak,Weak
324,trans-2-Hexenal,6728-26-3,4.05,3.78,4.05,4.05,2.6,Moderate,Weak,1,2,1,Strong,Strong
325,p-Isobutyl-?-methyl hydrocinnamaldehdye,6658-48-6,7.6,7.6,7.6,7.6,7.6,Moderate,Weak,1,4,1,Weak,Weak
326,"p-Mentha-1,8-dien-7-al",2111-75-3,7.95,7.95,7.95,7.95,7.8,Moderate,Weak,1,3,1,Weak,Moderate
327,?-Methyl cinnamic aldehyde,101-39-3,4.5,4.5,4.5,4.5,4.5,Moderate,Weak,1,4,1,Weak,Weak
328,Methyl 2-nonynoate (Methyl octine carbonate),111-80-8,2.5,2.5,2.5,2.5,2.5,Moderate,Weak,1,2,1,Strong,Strong
329,2-Methoxy-4-methylphenol,93-51-6,5.6,5.6,5.6,5.6,5.4,Moderate,Weak,1,2,1,Strong,Strong
330,Phenylacetaldehyde,122-78-1,5.5,4.99,4.7,4.7,3,Moderate,Weak,1,3,1,Weak,Moderate
331,3-Propylidenephthalide,17369-59-4,3.4,3.39,3.4,3.4,3.1,Moderate,Weak,1,3,1,Weak,Moderate
